1 | activity cosmetics sales |   funded 3150 |  country BO |   journal_entries 1 | 
1 | activity clothing sales |   funded 3125 |  country BO |   journal_entries 1 | 
1 | activity food production/sales |   funded 2800 |  country BO |   journal_entries 1 | 
1 | activity food production/sales |   funded 4850 |  country BO |   journal_entries 1 | 
1 | activity retail |   funded 1000 |  country BO |   journal_entries 2 | 
1 | activity animal sales |   funded 4775 |  country BO |   journal_entries 2 | 
1 | activity clothing sales |   funded 3700 |  country BO |   journal_entries 2 | 
1 | activity food production/sales |   funded 4700 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 2650 |  country BO |   journal_entries 2 | 
1 | activity food production/sales |   funded 3600 |  country BO |   journal_entries 2 | 
1 | activity food production/sales |   funded 4875 |  country BO |   journal_entries 1 | 
1 | activity food production/sales |   funded 250 |  country BO |   journal_entries 2 | 
1 | activity tailoring |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity auto repair |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity sewing |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity cheese making |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 700 |  country BO |   journal_entries 3 | 
1 | activity milk sales |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity construction |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity barber shop |   funded 250 |  country BO |   journal_entries 2 | 
1 | activity taxi |   funded 800 |  country BO |   journal_entries 2 | 
1 | activity sewing |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity sewing |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity used clothing |   funded 150 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity medical clinic |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity livestock |   funded 150 |  country BO |   journal_entries 2 | 
1 | activity carpentry |   funded 100 |  country BO |   journal_entries 2 | 
1 | activity food production/sales |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity construction |   funded 800 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 1000 |  country BO |   journal_entries 2 | 
1 | activity sewing |   funded 150 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 200 |  country BO |   journal_entries 2 | 
1 | activity motorcycle transport |   funded 900 |  country BO |   journal_entries 0 | 
1 | activity cosmetics sales |   funded 100 |  country BO |   journal_entries 2 | 
1 | activity traveling sales |   funded 200 |  country BO |   journal_entries 2 | 
